,proprty_type,seller,Location,Area in sqft,Rate/sq_ft,price,status,possession,Approved by RERA
2719,"2 BHK Apartment in Venkata Subbamma Kollamaram Royal KGR Block 2Pendurthi, Visakhapatnam",Living Space,"Pendurthi, Visakhapatnam",1040 ,"3,365 / sq ft", 35 L,Under Construction,Possession by Aug 20232 Bathrooms1st of 5floor,Yes
2720,"2 BHK Apartment in Utkarsha Capital TowersMadhurawada, Visakhapatnam",Satyannarayana,"Madhurawada, Visakhapatnam",1249 ,"4,700 / sq ft", 58.7 L,Under Construction,Possession by Sep 20242 Bathrooms1st of 8floor,Yes
2721,"2 BHK Apartment in Coastal Aspen ClassicGajuwaka, Visakhapatnam",murthy,"Gajuwaka, Visakhapatnam",1040 ,"3,365 / sq ft", 35 L,Ready to move,2 - 3 years old2 Bathrooms2nd of 5floor,No
2722,"2 BHK Apartment in Utkarsha Capital TowersMadhurawada, Visakhapatnam",Satyanarayana,"Madhurawada, Visakhapatnam",1249 ,"4,600 / sq ft", 57.45 L,Under Construction,Possession by Sep 20242 Bathrooms1st of 8floor,Yes
2723,"2 BHK Apartment in Honeyy SreenivasamAchutapuram, Visakhapatnam",Venkata Sai Charan,"Achutapuram, Visakhapatnam",990 ,"3,535 / sq ft", 35 L,Ready to move,1 - 2 years old2 BathroomsResale ,No
2724,"2 BHK Apartment in Sree nivasam gajuwakaGajuwaka, Visakhapatnam",Neelu Neelima,"Gajuwaka, Visakhapatnam",830 ,"3,373 / sq ft", 28 L,Under Construction,Possession by Dec 20222 Bathrooms2nd of 3floor,No
2725,"3 BHK Apartment in Mk ResidencyChandrampalem Visakhapatnam, Visakhapatnam",parvathi,"Chandrampalem Visakhapatnam, Visakhapatnam",1800 ,"5,311 / sq ft", 95.6 L,Ready to move,1 - 2 years old3 Bathrooms4th of 5floor,No
2726,"2 BHK Apartment in Vishnu sree ResidencyPMPalem, Visakhapatnam",parvathi,"PMPalem, Visakhapatnam",850 ,"4,635 / sq ft", 39.4 L,Ready to move,1 - 2 years old2 Bathrooms1st of 5floor,No
2727,"2 BHK Apartment in Prasad constructionMadhurawada, Visakhapatnam",parvathi,"Madhurawada, Visakhapatnam",900 ,"4,122 / sq ft", 37.1 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 5floor,No
2728,"3 BHK Apartment in Avk shivaMadhurawada, Visakhapatnam",parvathi,"Madhurawada, Visakhapatnam",1235 ,"5,361 / sq ft", 66.22 L,Ready to move,1 - 2 years old3 Bathrooms1st of 5floor,No
2729,"2 BHK Apartment in SS Royal fortMadhurawada, Visakhapatnam",parvathi,"Madhurawada, Visakhapatnam",1085 ,"5,484 / sq ft", 59.5 L,Ready to move,1 - 2 years old2 Bathrooms3rd of 5floor,No
2730,"2 BHK Apartment in Honeyy sreenivasam madhurawadaMadhurawada, Visakhapatnam",padma,"Madhurawada, Visakhapatnam",1000 ,"2,900 / sq ft", 29 L,Under Construction,Possession by Sep 20232 Bathrooms2nd of 5floor,No
2731,"2 BHK Apartment in YTY PrimeMadhurawada, Visakhapatnam",parvathi,"Madhurawada, Visakhapatnam",985 ,"4,200 / sq ft", 41.37 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 5floor,No
2732,"2 BHK Apartment in Utkarsha Capital TowersMadhurawada, Visakhapatnam",Satyanarayana,"Madhurawada, Visakhapatnam",1000 ,"3,000 / sq ft", 30 L,Under Construction,Possession by Sep 20262 Bathrooms1st of 6floor,Yes
2733,"3 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Shiva,"Kurmannapalem, Visakhapatnam",1455 ,"3,700 / sq ft", 53.83 L,Under Construction,Possession by Nov 20223 Bathrooms2nd of 5floor,No
2734,"2 BHK Apartment in Jayam heightsKurmannapalem, Visakhapatnam",Shiva,"Kurmannapalem, Visakhapatnam",1060 ,"3,700 / sq ft", 39.22 L,Under Construction,Possession by Dec 20222 Bathrooms2nd of 5floor,No
2735,"3 BHK Villa in Baskar avenueLankelapalem, Visakhapatnam",Shiva,"Lankelapalem, Visakhapatnam",1000 ,"4,200 / sq ft", 42 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
2736,"3 BHK Villa in Baskar avenueLankelapalem, Visakhapatnam",Shiva,"Lankelapalem, Visakhapatnam",920 ,"3,804 / sq ft", 35 L,Ready to move,1 - 2 years old3 BathroomsNew ,No
2737,"2 BHK Independent House in BaskarsLankelapalem, Visakhapatnam",Shiva,"Lankelapalem, Visakhapatnam",1260 ,"3,809 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
2738,"3 BHK Villa in Lohitha VillasDuvvada, Visakhapatnam",Shiva,"Duvvada, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Nov 20223 BathroomsNew ,No
2739,"2 BHK Independent House in Lohitha HouseDuvvada, Visakhapatnam",Shiva,"Duvvada, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Under Construction,Possession by Nov 20222 BathroomsNew ,No
2740,"2 BHK Independent HouseLankelapalem, Visakhapatnam",Sainadh,"Lankelapalem, Visakhapatnam",1000 ,"4,200 / sq ft", 42 L,Under Construction,Possession by Dec 20222 BathroomsNew ,No
2741,"2 BHK Independent HouseDuvvada Sabbavaram Road, Visakhapatnam",Sainadh,"Duvvada Sabbavaram Road, Visakhapatnam",1211 ,"4,954 / sq ft", 60 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
2742,"3 BHK VillaDuvvada Sabbavaram Road, Visakhapatnam",Sainadh,"Duvvada Sabbavaram Road, Visakhapatnam",1857 ,"4,577 / sq ft", 85 L,Under Construction,Possession by Dec 20223 BathroomsNew ,No
2743,"2 BHK Independent HouseLankelapalem Road, Visakhapatnam",Sainadh,"Lankelapalem Road, Visakhapatnam",1200 ,"4,000 / sq ft", 48 L,Under Construction,Possession by Dec 20222 BathroomsNew ,No
2744,"3 BHK VillaLankelapalem Road, Visakhapatnam",Sainadh,"Lankelapalem Road, Visakhapatnam",920 ,"3,804 / sq ft", 35 L,Under Construction,Possession by May 20232 BathroomsNew ,No
2745,"3 BHK VillaLankelapalem Road, Visakhapatnam",Sainadh,"Lankelapalem Road, Visakhapatnam",2000 ,"3,750 / sq ft", 75 L,Under Construction,Possession by May 20233 BathroomsNew ,No
2746,"2 BHK Apartment in PMPALAM projectPMPalem, Visakhapatnam",skml Group,"PMPalem, Visakhapatnam",1050 ,"4,490 / sq ft", 47.15 L,Under Construction,Possession by Jan 20232 Bathrooms4th of 5floor,No
2747,"2 BHK Apartment in Karthik pranavPMPalem, Visakhapatnam",parvathi,"PMPalem, Visakhapatnam",1050 ,"4,590 / sq ft", 48.2 L,Under Construction,Possession by Oct 20222 Bathrooms1st of 5floor,No
2748,"2 BHK Apartment in Karthik pranavPothinamallayya Palem, Visakhapatnam",smart homes,"Pothinamallayya Palem, Visakhapatnam",1050 ,"4,390 / sq ft", 46.1 L,Under Construction,Possession by Sep 20222 Bathrooms1st of 5floor,No
