,proprty_type,seller,Location,Area in sqft,Rate/sq_ft,price,status,possession,Approved by RERA
132,"Residential Plot in peram aditya varna2Bheemunipatnam, Visakhapatnam",property advisor,"Bheemunipatnam, Visakhapatnam",2997 ,"1,334 / sq ft", 40 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
133,"Residential Plot in sukshetra greensKapuluppada, Visakhapatnam",property advisor,"Kapuluppada, Visakhapatnam",3600 ,"1,888 / sq ft", 68 L,New,Possession by Dec 18992 open sides 2 L booking amount,No
134,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",792 ,"1,073 / sq ft", 8.5 L,New,"Possession by Dec 18991 open sides 50,000 booking amount",No
135,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1800 ,"2,222 / sq ft", 40 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
136,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",810 ,"1,790 / sq ft", 14.5 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
137,"Residential Plot in Peram Aditya VarnaSanghivalasa, Visakhapatnam",property advisor,"Sanghivalasa, Visakhapatnam",1206 ,"1,326 / sq ft", 16 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
138,"Residential Plot in Peram aditya varnaNear Sangivalasa Village, Visakhapatnam",property advisor,"Near Sangivalasa Village, Visakhapatnam",810 ,"1,419 / sq ft", 11.5 L,New,"Possession by Dec 18991 open sides 50,000 booking amount",No
139,"Residential Plot in Subhagruha Sukrithi AvanthikaModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",1800 ,"1,555 / sq ft", 28 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
140,"Residential Plot in golden citySontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",1800 ,"1,944 / sq ft", 35 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
141,"Residential Plot in Subhagruha Sukrithi AvanthikaModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",1800 ,"1,555 / sq ft", 28 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
142,"Residential Plot in Alluri GardensDakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",1820 ,"1,538 / sq ft", 28 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
143,"Residential Plot in alluris nandanavanamDakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",1900 ,"1,578 / sq ft", 30 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
144,"Residential Plot in Peram Aditya Varna Phase IIINH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",1800 ,"1,555 / sq ft", 28 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
145,"Residential Plot in peram aditya lahariVizianagaram Tagarapuvalasa Road, Visakhapatnam",property advisor,"Vizianagaram Tagarapuvalasa Road, Visakhapatnam",1350 ,740 / sq ft, 10 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
146,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1350 ,"1,814 / sq ft", 24.5 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
147,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1350 ,"1,111 / sq ft", 15 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
148,"Residential Plot in Peram Signature ParkMamidilova, Visakhapatnam",property advisor,"Mamidilova, Visakhapatnam",1800 ,"1,555 / sq ft", 28 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
149,"Residential Plot in Peram Aditya MajesticTarluvada, Visakhapatnam",property advisor,"Tarluvada, Visakhapatnam",1800 ,"1,666 / sq ft", 30 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
150,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",2430 ,"1,893 / sq ft", 46 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
151,"Residential Plot in GGR Perams Aditya Lahari Block EModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",1782 ,729 / sq ft, 13 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
152,"Residential Plot in Peram Aditya Varna Phase IIINH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",1782 ,"1,571 / sq ft", 28 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
153,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",1782 ,"1,571 / sq ft", 28 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
154,"Residential Plot in sree hari townshipAnandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",1800 ,"2,000 / sq ft", 36 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
155,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1800 ,"2,555 / sq ft", 46 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
156,"Residential Plot in Peram Aditya Varna Phase INH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",1800 ,"2,000 / sq ft", 36 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
157,"Residential Plot in Peram Aditya Lahari IIModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",1800 ,"1,083 / sq ft", 19.5 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
158,"Residential Plot in golden citySontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",1800 ,"2,000 / sq ft", 36 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
159,"Residential Plot in green marinoBheemunipatnam, Visakhapatnam",property advisor,"Bheemunipatnam, Visakhapatnam",2403 ,"1,664 / sq ft", 40 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
160,"Residential Plot in sri hari projectsBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",2196 ,"1,229 / sq ft", 27 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
161,"Residential Plot in Peram Aditya Lahari IIModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",1800 ,888 / sq ft, 16 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
162,"Residential Plot in seshadri townshipBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",2200 ,"1,272 / sq ft", 28 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
163,"Residential Plot in sree hari townshipAnandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",1800 ,"2,000 / sq ft", 36 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
164,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1440 ,"1,736 / sq ft", 25 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
165,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",2430 ,"1,069 / sq ft", 26 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
166,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1782 ,"1,739 / sq ft", 31 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
167,"Residential Plot in Peram Aditya Lahari IIModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",4001 ,749 / sq ft, 30 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
168,"Residential Plot in Peram Aditya Varna Phase IIINH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",3999 ,"1,500 / sq ft", 59.99 L,New,Possession by Dec 18992 open sides 2 L booking amount,No
169,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1999 ,"1,160 / sq ft", 23.2 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
170,"Residential Plot in GGR Perams Aditya AnanditaRouthalapalem, Visakhapatnam",property advisor,"Routhalapalem, Visakhapatnam",4002 ,749 / sq ft, 30 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
171,"Residential Plot in Peram Aditya Varna Phase INH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",4000 ,"1,550 / sq ft", 62 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
172,"Residential Plot in peram aditya grand eliteBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",4000 ,"1,725 / sq ft", 69 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
173,"Residential Plot in Bhoomatha Amaravati Green CityModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",1810 ,828 / sq ft, 15 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
174,"Residential Plot in Peram Aditya RoyalDakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",4002 ,849 / sq ft, 34 L,New,Possession by Dec 18992 open sides 2 L booking amount,No
175,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",4002 ,"1,249 / sq ft", 50 L,New,Possession by Dec 18992 open sides 2 L booking amount,No
176,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",9000 ,"1,888 / sq ft", 1.7 Cr,New,Possession by Dec 18991 open sides 10 L booking amount,No
177,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",9000 ,"1,111 / sq ft", 1 Cr,New,Possession by Dec 18991 open sides 5 L booking amount,No
178,"Residential Plot in peram aditya varna1Near Sangivalasa Village, Visakhapatnam",property advisor,"Near Sangivalasa Village, Visakhapatnam",9000 ,"1,444 / sq ft", 1.3 Cr,New,Possession by Dec 18991 open sides 10 L booking amount,No
179,"3 BHK Villa in Navaratna Blue MarinoRushikonda, Visakhapatnam",property advisor,"Rushikonda, Visakhapatnam",1500 ,"4,600 / sq ft", 69 L,Ready to move,3 - 4 years old3 BathroomsNew ,No
180,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",4002 ,"1,799 / sq ft", 72 L,New,Possession by Dec 18992 open sides 2 L booking amount,No
181,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",4002 ,"1,149 / sq ft", 46 L,New,Possession by Dec 18992 open sides 2 L booking amount,No
182,"Residential Plot in GGR Perams Aditya Lahari Block EModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",1806 ,719 / sq ft, 13 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
183,"Residential Plot in kvv villageBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1810 ,"1,546 / sq ft", 28 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
184,"Residential Plot in GGR Perams Aditya White Field Block dTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1806 ,"1,882 / sq ft", 34 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
185,"Residential Plot in Nsr AmaravathiKothavalasa, Visakhapatnam",property advisor,"Kothavalasa, Visakhapatnam",1802 ,443 / sq ft, 8 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
186,"Residential Plot in myron homesBheemili Beach, Visakhapatnam",property advisor,"Bheemili Beach, Visakhapatnam",1800 ,"1,555 / sq ft", 28 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
187,"Residential Plot in peram aditya lahari2Korada, Visakhapatnam",property advisor,"Korada, Visakhapatnam",810 ,740 / sq ft, 6 L,New,"Possession by Dec 18991 open sides 50,000 booking amount",No
188,"Residential Plot in Peram Aditya Varna Phase INH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",12150 ,"1,481 / sq ft", 1.8 Cr,New,Possession by Dec 18991 open sides 10 L booking amount,No
189,"Residential Plot in Amrutha grandKothavalasa, Visakhapatnam",property advisor,"Kothavalasa, Visakhapatnam",1800 ,888 / sq ft, 16 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
190,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",3600 ,"1,097 / sq ft", 39.5 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
191,"Residential Plot in peram aditya royal1Bhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",3600 ,833 / sq ft, 30 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
192,"Residential Plot in peram aditya grand eliteBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",2160 ,"1,759 / sq ft", 38 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
193,"Residential Plot in peram aditya grand eliteVizianagaram Tagarapuvalasa Road, Visakhapatnam",property advisor,"Vizianagaram Tagarapuvalasa Road, Visakhapatnam",2790 ,"1,792 / sq ft", 50 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
194,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",6480 ,"1,111 / sq ft", 72 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
195,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",3600 ,"2,000 / sq ft", 72 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
196,"Residential Plot in GGR Perams Aditya Lahari Block BModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",2196 ,774 / sq ft, 17 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
197,"Residential Plot in Peram AnanditaRouthalapalem, Visakhapatnam",property advisor,"Routhalapalem, Visakhapatnam",3600 ,833 / sq ft, 30 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
198,"2 BHK Apartment in Kl RacidancyResidential Open Plot Sujathanagar, Visakhapatnam",vanaja,"Residential Open Plot Sujathanagar, Visakhapatnam",1000 ,"3,700 / sq ft", 37 L,Ready to move,0 - 1 year old2 Bathrooms2nd of 5floor,No
199,"3 BHK Apartment in Viswanandh Avenues v19PM Palem Main, Visakhapatnam",Vishwanadh avenues,"PM Palem Main, Visakhapatnam",1500 ,"5,000 / sq ft", 75 L,Under Construction,Possession by Nov 20222 Bathrooms3rd of 5floor,No
200,"Residential Plot in arcon wealthy homesAnandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",1806 ,"1,937 / sq ft", 35 L,New,Possession by Dec 18992 open sides 2 L booking amount,No
201,"Residential Plot in sukshetra greensKapuluppada, Visakhapatnam",property advisor,"Kapuluppada, Visakhapatnam",1806 ,"1,993 / sq ft", 36 L,New,Possession by Dec 18992 open sides 2 L booking amount,No
202,"Residential Plot in peram aditya royal2Dakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",810 ,864 / sq ft, 7 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
203,"Residential Plot in Peram AnanditaRouthalapalem, Visakhapatnam",property advisor,"Routhalapalem, Visakhapatnam",27000 ,833 / sq ft, 2.25 Cr,New,Possession by Dec 18991 open sides 20 L booking amount,No
204,"3 BHK Apartment in Sai grand kurmanapalemKurmannapalem, Visakhapatnam",madhu,"Kurmannapalem, Visakhapatnam",1435 ,"3,135 / sq ft", 45 L,Ready to move,1 year old3 Bathrooms3rd of 5floor,No
205,"Residential Plot in peram aditya royal2Dakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",1800 ,833 / sq ft, 15 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
206,"Residential Plot in GGR Perams Aditya Lahari Block BModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",1800 ,777 / sq ft, 14 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
207,"Residential Plot in peram aditya varna3Near Sangivalasa Village, Visakhapatnam",property advisor,"Near Sangivalasa Village, Visakhapatnam",1800 ,"1,444 / sq ft", 26 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
208,"Residential Plot in sukrithi srujanaDakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",1800 ,833 / sq ft, 15 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
209,"Residential Plot in GGR Perams Aditya AnanditaRouthalapalem, Visakhapatnam",property advisor,"Routhalapalem, Visakhapatnam",4650 ,860 / sq ft, 40 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
210,"3 BHK Apartment in NehruMalkapuram, Visakhapatnam",padma,"Malkapuram, Visakhapatnam",1500 ,"4,066 / sq ft", 61 L,Ready to move,1 year old3 Bathrooms1st of 5floor,No
211,"2 BHK Villa in kvv grand villageBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1000 ,"4,000 / sq ft", 40 L,Under Construction,Possession by Apr 20201 BathroomsNew ,No
212,"3 BHK Apartment in Sai grand kurmanapalemKurmannapalem, Visakhapatnam",madhu,"Kurmannapalem, Visakhapatnam",1435 ,"3,135 / sq ft", 45 L,Ready to move,1 year old2 Bathrooms4th of 5floor,No
213,"2 BHK Apartment in Honeyy Sreenivasam 1Achutapuram, Visakhapatnam",Akash Teja,"Achutapuram, Visakhapatnam",1000 ,"2,700 / sq ft", 27 L,Under Construction,Possession by Aug 20222 Bathrooms3rd of 5floor,Yes
214,"2 BHK Apartment in Honeyy Sreenivasam 1Achutapuram, Visakhapatnam",KARUNAKAR,"Achutapuram, Visakhapatnam",1000 ,"2,700 / sq ft", 27 L,Under Construction,Possession by Aug 20232 Bathrooms3rd of 5floor,Yes
215,"2 BHK Apartment in Honeyy SreenivasamAchutapuram, Visakhapatnam",M pavankumar,"Achutapuram, Visakhapatnam",1000 ,"2,700 / sq ft", 27 L,Under Construction,Possession by Aug 20232 Bathrooms3rd of 5floor,Yes
216,"Residential Plot in Sivashakthi Highway City Phase 3Sontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",1804 ,"1,552 / sq ft", 28 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
217,"2 BHK Apartment in Golden rayBheemunipatnam, Visakhapatnam",psai priyanka,"Bheemunipatnam, Visakhapatnam",960 ,"3,958 / sq ft", 38 L,Under Construction,Possession by Dec 20222 Bathrooms3rd of 5floor,No
218,"3 BHK Apartment in Sai SadhanPothinamallayya Palem, Visakhapatnam",Dileep kumar,"Pothinamallayya Palem, Visakhapatnam",1390 ,"4,943 / sq ft", 68.72 L,Ready to move,7 years old3 Bathrooms2nd of 5floor,No
219,"3 BHK Apartment in  HeightsPothinamallayya Palem, Visakhapatnam",Dileep kumar,"Pothinamallayya Palem, Visakhapatnam",1651 ,"5,021 / sq ft", 82.9 L,Ready to move,1 year old2 Bathrooms1st of 5floor,No
220,"Residential Plot in Siri Venkateswara Nandanavanam VisishtaDakamarri, Visakhapatnam",Siri venkateswara developers,"Dakamarri, Visakhapatnam",1800 ,"1,100 / sq ft", 19.8 L,New,4 open sides 1 L booking amountEast facing,No
221,"Residential Plot in The Golden City phase2Anandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",2403 ,"1,872 / sq ft", 45 L,New,1 open sides 2 L booking amountNorth facing,No
222,"Residential Plot in Srika Green Hill ViewSontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",2403 ,"1,664 / sq ft", 40 L,New,1 open sides 1 L booking amountSouthWest facing,No
223,"Residential Plot in Subhagruha Sukrithi Saanvi IIlBheemunipatnam, Visakhapatnam",property advisor,"Bheemunipatnam, Visakhapatnam",2406 ,"1,454 / sq ft", 35 L,New,1 open sides 1 L booking amountNorth facing,No
224,"Residential Plot in Hiranmayee projectsSheela Nagar, Visakhapatnam",Mahesh agent,"Sheela Nagar, Visakhapatnam",1197 ,"2,172 / sq ft", 26 L,New,1 year old 5 L booking amount,No
225,"Residential Plot in Peram Aditya RoyalDakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",1832 ,"1,091 / sq ft", 20 L,New,1 open sides 2 L booking amountEast facing,No
226,"Residential Plot in siri venkateswara developers alluri garden nandanavanamDakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",1832 ,"1,473 / sq ft", 27 L,New,1 open sides 2 L booking amountWest facing,No
227,"Residential Plot in Sivashakthi Highway City Phase 2Tarluvada, Visakhapatnam",property advisor,"Tarluvada, Visakhapatnam",1832 ,"1,855 / sq ft", 34 L,New,1 open sides 1 L booking amountWest facing,No
228,"2 BHK Apartment in  Predama EnclavePothinamallayya Palem, Visakhapatnam",Dileep kumar,"Pothinamallayya Palem, Visakhapatnam",1250 ,"4,860 / sq ft", 60.75 L,Ready to move,1 year old2 Bathrooms2nd of 5floor,No
229,"2 BHK Apartment in Sai SadhanPothinamallayya Palem, Visakhapatnam",Dileep kumar,"Pothinamallayya Palem, Visakhapatnam",1250 ,"4,860 / sq ft", 60.75 L,Ready to move,7 years old2 Bathrooms2nd of 5floor,No
230,"2 BHK Apartment in  Predama EnclavePothinamallayya Palem, Visakhapatnam",Dileep kumar,"Pothinamallayya Palem, Visakhapatnam",1390 ,"4,942 / sq ft", 68.7 L,Ready to move,1 year old2 Bathrooms2nd of 5floor,No
231,"2 BHK Apartment in PmpalemPothinamallayya Palem, Visakhapatnam",eswari homes,"Pothinamallayya Palem, Visakhapatnam",1060 ,"4,716 / sq ft", 50 L,Under Construction,2 Bathrooms3rd of 5floorNew ,No
